Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 6,Unnamed: 7,Unnamed: 8
■ 자산평가지수 CPS 구간값,,,,,,
,- U81305010: 거주지매매가_구간,,,,,
,- U81306010: 거주지전세가_구간,,,,,
,U81305010,거주지매매가,,U81306010,거주지전세가,
,,MIN,MAX,,MIN,MAX
,1,1500000,,1,1500000,
,2,1000000,1499990,2,1000000,1499990
,3,800000,999990,3,800000,999990
,4,600000,799990,4,600000,799990
,5,500000,599990,5,500000,599990
,6,450000,499990,6,450000,499990
,7,400000,449990,7,400000,449990
,8,350000,399990,8,350000,399990
,9,300000,349990,9,300000,349990
,10,275000,299990,10,275000,299990
,11,250000,274990,11,250000,274990
,12,225000,249990,12,225000,249990
,13,200000,224990,13,200000,224990
,14,175000,199990,14,175000,199990
,15,150000,174990,15,150000,174990
,16,125000,149990,16,125000,149990
,17,100000,124990,17,100000,124990
,18,75000,99990,18,75000,99990
,19,50000,74990,19,50000,74990
,20,0,49990,20,0,49990
,,,(단위: 천원),,,(단위: 천원)
업종코드,,,,,,
,A,"농업, 임업 및 어업(01~03)",,,,
,B,광업(05~08),,,,
,C,제조업(10~34),,,,
,D,"전기, 가스, 증기 및 공기 조절 공급업(35)",,,,
,E,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",,,,
,F,건설업(41~42),,,,
,G,도매 및 소매업(45~47),,,,
,H,운수 및 창고업(49~52),,,,
,I,숙박 및 음식점업(55~56),,,,
,J,정보통신업(58~63),,,,
,K,금융 및 보험업(64~66),,,,
,L,부동산업(68),,,,
,M,"전문, 과학 및 기술 서비스업(70~73)",,,,
,N,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",,,,
,O,"공공 행정, 국방 및 사회보장 행정(84)",,,,
,P,교육 서비스업(85),,,,
,Q,보건업 및 사회복지 서비스업(86~87),,,,
,R,"예술, 스포츠 및 여가관련 서비스업(90~91)",,,,
,S,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",,,,
시도코드,,,,,,
,시도코드,시도명,,,,
,11,서울,,,,
,26,부산,,,,
,27,대구,,,,
,28,인천,,,,
,29,광주,,,,
,30,대전,,,,
,31,울산,,,,
,36,세종,,,,
,41,경기,,,,
,42,강원,,,,
,43,충북,,,,
,44,충남,,,,
,45,전북,,,,
,46,전남,,,,
,47,경북,,,,
,48,경남,,,,
,50,제주,,,,
